order_id,customer_id,order_date,status,shipping_city,shipping_state,total_amount,first_name,last_name,email,phone,age,gender,city,state,income_level,join_date,is_active,is_outlier
26,4842,2022-06-27,completed,Bhubaneswar,Uttar Pradesh,622060.97,Pihu,Barad,dmaharaj@example.net,5576341625,39,Male,Bhubaneswar,Uttar Pradesh,Premium,2023-10-26,True,True
102,7924,2023-07-11,shipped,Amritsar,Gujarat,392415.98,Raghav,Batra,vardaniyabal@example.org,7877761499,33,Female,Amritsar,Gujarat,Medium,2023-08-12,True,True
188,5327,2023-06-05,processing,Surendranagar Dudhrej,Karnataka,467414.58,Yuvraj ,Bahl,xdoctor@example.org,1878638584,26,Male,Surendranagar Dudhrej,Karnataka,Low,2022-08-04,True,True
196,13020,2024-02-24,pending,Sambalpur,Gujarat,445094.97,Vanya,Dayal,ubutala@example.net,5117020737,53,Female,Sambalpur,Gujarat,Low,2022-08-08,True,True
212,16566,2022-05-15,completed,Barasat,Tamil Nadu,485899.95,Samar,Varkey,ahana-59@example.org,5662278209,45,Male,Barasat,Tamil Nadu,High,2023-08-03,True,True
218,7004,2023-03-29,completed,Madhyamgram,Uttar Pradesh,504347.02,Ahana ,Seshadri,bhattiaaina@example.net,3357051891,24,Female,Madhyamgram,Uttar Pradesh,Low,2024-06-06,True,True
222,4280,2023-01-24,completed,Kishanganj,Maharashtra,492116.76,Tejas,Subramaniam,vanyachawla@example.net,1871694675,23,Female,Kishanganj,Maharashtra,Medium,2024-08-10,True,True
248,16561,2022-12-31,completed,Mango,Uttar Pradesh,462786.6,Yuvaan,Raju,chirag63@example.org,4879593000,18,Female,Mango,Uttar Pradesh,High,2022-02-02,False,True
251,15264,2022-11-13,completed,Warangal,Bihar,773810.6,Madhav,Ghose,kkhosla@example.net,919711090501,18,Female,Warangal,Bihar,Medium,2022-06-27,True,True
302,6941,2024-01-28,completed,Gurgaon,Karnataka,393160.23,Vanya,Bhardwaj,manikyakala@example.com,4927582063,34,Male,Gurgaon,Karnataka,High,2022-05-04,True,True
350,13217,2022-11-11,completed,Chapra,Karnataka,431657.1,Navya,Sundaram,neysamani@example.net,744635348,38,Male,Chapra,Karnataka,Medium,2023-06-10,True,True
429,7320,2024-07-11,completed,Dindigul,Rajasthan,467054.18,Madhav,Lad,siya16@example.org,6151122510,36,Female,Dindigul,Rajasthan,Low,2024-04-30,True,True
443,3297,2023-06-05,delivered,Sasaram,Telangana,468163.61,Mahika,Gupta,jhanvisalvi@example.com,911321566701,43,Male,Sasaram,Telangana,Medium,2023-12-24,True,True
454,11131,2022-01-03,completed,Kavali,Uttar Pradesh,468992.13,Ivana,Roy,deyarmaan@example.org,913794351410,18,Female,Kavali,Uttar Pradesh,Medium,2024-12-16,True,True
494,8571,2022-02-13,processing,Tirunelveli,Bihar,325318.28,Pranay,Vora,ekumar@example.com,8626482000,29,Female,Tirunelveli,Bihar,High,2024-03-25,True,True
498,8759,2024-02-22,processing,Coimbatore,Karnataka,497419.48,Nirvi,Vaidya,jivin63@example.com,7194927775,45,Male,Coimbatore,Karnataka,Medium,2023-06-06,True,True
523,2730,2024-05-06,completed,Etawah,Uttar Pradesh,432971.78,Tanya,Sanghvi,kallakabir@example.net,8156603098,20,Male,Etawah,Uttar Pradesh,Medium,2022-05-11,False,True
546,10190,2022-12-20,completed,Guntur,Uttar Pradesh,351810.33,Anya,Wason,itara@example.org,5673320951,31,Male,Guntur,Uttar Pradesh,Medium,2024-07-18,True,True
554,13175,2023-06-03,completed,Jorhat,Uttar Pradesh,540339.41,Kabir,Sandhu,garamamooty@example.net,910843180105,25,Male,Jorhat,Uttar Pradesh,Medium,2022-06-15,True,True
566,747,2022-11-25,delivered,Dindigul,Karnataka,456442.3,Aarna,Manda,asingh@example.org,652740334,37,Male,Dindigul,Karnataka,Low,2022-02-06,True,True
615,5568,2024-01-29,completed,Gaya,Maharashtra,339707.15,Ojas,Das,dharmajangopal@example.net,2166444507,52,Female,Gaya,Maharashtra,High,2022-04-28,True,True
667,6622,2024-01-10,completed,Anand,Bihar,453531.64,Neelofar,Magar,dbhattacharyya@example.com,3576593962,54,Male,Anand,Bihar,High,2022-12-18,True,True
782,17179,2022-04-10,completed,Bhavnagar,Uttar Pradesh,445572.45,Nishith,Contractor,dhruvtalwar@example.org,914477420906,25,Male,Bhavnagar,Uttar Pradesh,High,2023-07-22,True,True
814,18575,2022-10-19,pending,Silchar,Punjab,451689.38,Reyansh,Das,jbaral@example.org,9287044727,32,Male,Silchar,Punjab,Medium,2024-06-12,True,True
962,9394,2022-02-05,completed,Jalna,Maharashtra,335261.57,Ishita,Bhattacharyya,gokuljayaraman@example.com,4277028228,26,Male,Jalna,Maharashtra,Low,2023-07-04,True,True
